Referee_id,Referee_name,Game_id,Date,Time,Location,Player_id,First_name,Last_name,Age,Position,Nationality,Team_name,Manager,Owner,Sponsor_id,Sponsor_name
9,Pablo González Fuertes,10,22-10-2023,14:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
9,Pablo González Fuertes,10,22-10-2023,14:00,Santiago Bernabéu,21,Dani,Carvajal,31,Defender,Spain,SD Eibar,Jose Luis Mendilibar,Asier Etxeandía,17,Sponsors Estratégicos
19,José Munuera Montero,11,27-10-2023,21:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
19,José Munuera Montero,11,27-10-2023,21:00,Santiago Bernabéu,23,Alexander,Isak,23,Forward,Sweden,Getafe CF,Michel,Ángel Torres Sánchez,27,Asociaciones de la Cima
2,Antonio Miguel Mateu Lahoz,12,04-11-2023,18:30,Santiago Bernabéu,1,Lionel,Messi,36,Forward,Argentina,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
2,Antonio Miguel Mateu Lahoz,12,04-11-2023,18:30,Santiago Bernabéu,25,Philippe,Coutinho,29,Midfielder,Brazil,Granada CF,Robert Moreno,Jiang Lizhang,9,Soluciones Apex
14,Guillermo Cuadra Fernández,13,13-11-2023,21:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
14,Guillermo Cuadra Fernández,13,13-11-2023,21:00,Santiago Bernabéu,28,Aitor,Ruibal,26,Forward,Spain,CD Leganés,Juan Ramón López Muñiz,María Victoria Pavón Iglesias,23,Deportes Superiores
19,José Munuera Montero,14,19-11-2023,18:30,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
19,José Munuera Montero,14,19-11-2023,18:30,Santiago Bernabéu,29,Emerson,Royal,24,Defender,Brazil,RCD Mallorca,Luis García Plaza,Robert Sarver,25,Grupo de Crecimiento Global
4,Juan Martínez Munuera,15,25-11-2023,16:30,Santiago Bernabéu,1,Lionel,Messi,36,Forward,Argentina,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
4,Juan Martínez Munuera,15,25-11-2023,16:30,Santiago Bernabéu,31,Koundé,Carrasco,23,Defender,France,Elche CF,Alfredo Pardo,Villar Mir family,8,Aventuras de la Victoria
2,Antonio Miguel Mateu Lahoz,16,02-12-2023,18:30,Santiago Bernabéu,1,Lionel,Messi,36,Forward,Argentina,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
2,Antonio Miguel Mateu Lahoz,16,02-12-2023,18:30,Santiago Bernabéu,34,Diego,Llorente,28,Defender,Spain,Rayo Vallecano,Andoni Iraola,Raúl Martín Presa,20,Estrategias de Éxito
7,Adrián Cordero Vega,17,10-12-2023,12:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
7,Adrián Cordero Vega,17,10-12-2023,12:00,Santiago Bernabéu,36,Arnaiz,Sol,26,Forward,Spain,Alavés,Abelardo Fernández,José Antonio Querejeta,30,Estrategias Supremas
17,Isidro Díaz de Mera Escuderos,18,15-12-2023,21:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
17,Isidro Díaz de Mera Escuderos,18,15-12-2023,21:00,Santiago Bernabéu,38,Carlos,Soler,25,Midfielder,Spain,RCD Espanyol,Vicente Moreno,Chen Yansheng,19,Unidad Definitiva
15,Alberto Undiano Mallenco,19,11-08-2023,20:00,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
15,Alberto Undiano Mallenco,19,11-08-2023,20:00,Camp Nou,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
14,Guillermo Cuadra Fernández,20,27-08-2023,19:30,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
14,Guillermo Cuadra Fernández,20,27-08-2023,19:30,Camp Nou,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
2,Antonio Miguel Mateu Lahoz,21,02-09-2023,12:00,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
2,Antonio Miguel Mateu Lahoz,21,02-09-2023,12:00,Camp Nou,7,Joaquín,Correa,28,Forward,Argentina,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
15,Alberto Undiano Mallenco,22,08-09-2023,21:00,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
15,Alberto Undiano Mallenco,22,08-09-2023,21:00,Camp Nou,9,Antoine,Griezmann,32,Forward,France,Sevilla FC,Julen Lopetegui,José Castro Carmona,1,Corporación Acme
1,Carlos Velasco Carballo,23,18-09-2023,21:00,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
1,Carlos Velasco Carballo,23,18-09-2023,21:00,Camp Nou,11,Yannick,Carrasco,29,Forward,Belgium,Real Sociedad,Imanol Alguacil,Jokin Aperribay,14,Grupo Puerta Dorada
6,Ricardo De Burgos Bengoetxea,24,22-09-2023,21:00,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
6,Ricardo De Burgos Bengoetxea,24,22-09-2023,21:00,Camp Nou,13,Marco,Asensio,26,Forward,Spain,Villarreal CF,Unai Emery,Fernando Roig,7,Maximizar Marketing
10,Gil Manzano,25,30-09-2023,14:00,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
10,Gil Manzano,25,30-09-2023,14:00,Camp Nou,15,Jordi,Alba,33,Defender,Spain,Real Betis,Manuel Pellegrini,Ángel Haro García and José Miguel López Catalán,25,Grupo de Crecimiento Global
13,David Medié Jiménez,26,08-10-2023,16:30,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
13,David Medié Jiménez,26,08-10-2023,16:30,Camp Nou,18,Sergi,Roberto,30,Midfielder,Spain,Athletic Bilbao,Marcelino García Toral,Aitor Elizegi,11,Dinámica Dinámica
19,José Munuera Montero,27,16-10-2023,21:00,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
19,José Munuera Montero,27,16-10-2023,21:00,Camp Nou,19,Dani,Parejo,33,Midfielder,Spain,Levante UD,Paco López,Quico Catalán,28,Fondos de Primera Clase
14,Guillermo Cuadra Fernández,28,20-10-2023,21:00,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
14,Guillermo Cuadra Fernández,28,20-10-2023,21:00,Camp Nou,22,Diego,Costa,34,Forward,Spain,SD Eibar,Jose Luis Mendilibar,Asier Etxeandía,17,Sponsors Estratégicos
5,José Luis González González,29,28-10-2023,16:30,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
5,José Luis González González,29,28-10-2023,16:30,Camp Nou,24,Iago,Aspas,34,Forward,Spain,Getafe CF,Michel,Ángel Torres Sánchez,27,Asociaciones de la Cima
15,Alberto Undiano Mallenco,30,03-11-2023,21:00,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
15,Alberto Undiano Mallenco,30,03-11-2023,21:00,Camp Nou,26,Youssef,En-Nesyri,25,Forward,Morocco,Granada CF,Robert Moreno,Jiang Lizhang,9,Soluciones Apex
1,Carlos Velasco Carballo,31,11-11-2023,21:00,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
1,Carlos Velasco Carballo,31,11-11-2023,21:00,Camp Nou,27,Suso,Dani,28,Forward,Spain,CD Leganés,Juan Ramón López Muñiz,María Victoria Pavón Iglesias,23,Deportes Superiores
5,José Luis González González,32,18-11-2023,16:30,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
5,José Luis González González,32,18-11-2023,16:30,Camp Nou,30,Kubo,Kubi,21,Forward,Japan,RCD Mallorca,Luis García Plaza,Robert Sarver,25,Grupo de Crecimiento Global
15,Alberto Undiano Mallenco,33,24-11-2023,21:00,Camp Nou,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
15,Alberto Undiano Mallenco,33,24-11-2023,21:00,Camp Nou,32,Ousmane,Dembélé,25,Forward,France,Elche CF,Alfredo Pardo,Villar Mir family,8,Aventuras de la Victoria
14,Guillermo Cuadra Fernández,34,02-12-2023,21:00,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
14,Guillermo Cuadra Fernández,34,02-12-2023,21:00,Camp Nou,34,Diego,Llorente,28,Defender,Spain,Rayo Vallecano,Andoni Iraola,Raúl Martín Presa,20,Estrategias de Éxito
11,Ignacio Iglesias Villanueva,35,09-12-2023,12:00,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
11,Ignacio Iglesias Villanueva,35,09-12-2023,12:00,Camp Nou,35,Camavinga,Alva,20,Midfielder,France,Alavés,Abelardo Fernández,José Antonio Querejeta,30,Estrategias Supremas
6,Ricardo De Burgos Bengoetxea,36,16-12-2023,14:00,Camp Nou,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
6,Ricardo De Burgos Bengoetxea,36,16-12-2023,14:00,Camp Nou,38,Carlos,Soler,25,Midfielder,Spain,RCD Espanyol,Vicente Moreno,Chen Yansheng,19,Unidad Definitiva
11,Ignacio Iglesias Villanueva,37,12-08-2023,19:30,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
11,Ignacio Iglesias Villanueva,37,12-08-2023,19:30,Wanda Metropolitano,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
17,Isidro Díaz de Mera Escuderos,38,19-08-2023,19:30,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
17,Isidro Díaz de Mera Escuderos,38,19-08-2023,19:30,Wanda Metropolitano,3,Ansu,Fati,23,Forward,Spain,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
11,Ignacio Iglesias Villanueva,39,02-09-2023,18:30,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
11,Ignacio Iglesias Villanueva,39,02-09-2023,18:30,Wanda Metropolitano,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
5,José Luis González González,40,10-09-2023,14:00,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
5,José Luis González González,40,10-09-2023,14:00,Wanda Metropolitano,10,Koke,Ruibal,30,Midfielder,Spain,Sevilla FC,Julen Lopetegui,José Castro Carmona,1,Corporación Acme
6,Ricardo De Burgos Bengoetxea,41,16-09-2023,12:00,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
6,Ricardo De Burgos Bengoetxea,41,16-09-2023,12:00,Wanda Metropolitano,11,Yannick,Carrasco,29,Forward,Belgium,Real Sociedad,Imanol Alguacil,Jokin Aperribay,14,Grupo Puerta Dorada
4,Juan Martínez Munuera,42,23-09-2023,16:30,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
4,Juan Martínez Munuera,42,23-09-2023,16:30,Wanda Metropolitano,14,Ángel,Correa,27,Forward,Argentina,Villarreal CF,Unai Emery,Fernando Roig,7,Maximizar Marketing
16,José María Sánchez Martínez,43,02-10-2023,21:00,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
16,José María Sánchez Martínez,43,02-10-2023,21:00,Wanda Metropolitano,16,Jan,Oblak,31,Goalkeeper,Slovenia,Real Betis,Manuel Pellegrini,Ángel Haro García and José Miguel López Catalán,3,Rendimiento Pico
5,José Luis González González,44,07-10-2023,12:00,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
5,José Luis González González,44,07-10-2023,12:00,Wanda Metropolitano,18,Sergi,Roberto,30,Midfielder,Spain,Athletic Bilbao,Marcelino García Toral,Aitor Elizegi,11,Dinámica Dinámica
13,David Medié Jiménez,45,14-10-2023,14:00,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
13,David Medié Jiménez,45,14-10-2023,14:00,Wanda Metropolitano,20,David,Alaba,30,Defender,Austria,Levante UD,Paco López,Quico Catalán,28,Fondos de Primera Clase
4,Juan Martínez Munuera,46,21-10-2023,18:30,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
4,Juan Martínez Munuera,46,21-10-2023,18:30,Wanda Metropolitano,22,Diego,Costa,34,Forward,Spain,SD Eibar,Jose Luis Mendilibar,Asier Etxeandía,17,Sponsors Estratégicos
10,Gil Manzano,47,28-10-2023,14:00,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
10,Gil Manzano,47,28-10-2023,14:00,Wanda Metropolitano,24,Iago,Aspas,34,Forward,Spain,Getafe CF,Michel,Ángel Torres Sánchez,27,Asociaciones de la Cima
2,Antonio Miguel Mateu Lahoz,48,04-11-2023,21:00,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
2,Antonio Miguel Mateu Lahoz,48,04-11-2023,21:00,Wanda Metropolitano,26,Youssef,En-Nesyri,25,Forward,Morocco,Granada CF,Robert Moreno,Jiang Lizhang,9,Soluciones Apex
9,Pablo González Fuertes,49,20-11-2023,21:00,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
9,Pablo González Fuertes,49,20-11-2023,21:00,Wanda Metropolitano,27,Suso,Dani, 28,Forward,Spain,CD Leganés,Juan Ramón López Muñiz,María Victoria Pavón Iglesias,23,Deportes Superiores
17,Isidro Díaz de Mera Escuderos,50,25-11-2023,12:00,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
17,Isidro Díaz de Mera Escuderos,50,25-11-2023,12:00,Wanda Metropolitano,30,Kubo,Kubi,21,Forward,Japan,RCD Mallorca,Luis García Plaza,Robert Sarver,25,Grupo de Crecimiento Global
4,Juan Martínez Munuera,51,03-12-2023,18:30,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
4,Juan Martínez Munuera,51,03-12-2023,18:30,Wanda Metropolitano,32,Ousmane,Dembélé,25,Forward,France,Elche CF,Alfredo Pardo,Villar Mir family,8,Aventuras de la Victoria
13,David Medié Jiménez,52,08-12-2023,21:00,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
13,David Medié Jiménez,52,08-12-2023,21:00,Wanda Metropolitano,33,Jonathan,Calleri,28,Forward,Argentina,Rayo Vallecano,Andoni Iraola,Raúl Martín Presa,20,Estrategias de Éxito
18,José Antonio López Toca,53,16-12-2023,21:00,Wanda Metropolitano,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
18,José Antonio López Toca,53,16-12-2023,21:00,Wanda Metropolitano,36,Arnaiz,Sol,26,Forward,Spain,Alavés,Abelardo Fernández,José Antonio Querejeta,30,Estrategias Supremas
20,José Luis Munuera Montero,54,22-12-2023,21:00,Wanda Metropolitano,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
20,José Luis Munuera Montero,54,22-12-2023,21:00,Wanda Metropolitano,38,Carlos,Soler,25,Midfielder,Spain,RCD Espanyol,Vicente Moreno,Chen Yansheng,19,Unidad Definitiva
7,Adrián Cordero Vega,55,12-08-2023,22:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
7,Adrián Cordero Vega,55,12-08-2023,22:00,Mestalla,1,Lionel,Messi,36,Forward,Argentina,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
13,David Medié Jiménez,56,19-08-2023,22:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
13,David Medié Jiménez,56,19-08-2023,22:00,Mestalla,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
7,Adrián Cordero Vega,57,25-08-2023,20:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
7,Adrián Cordero Vega,57,25-08-2023,20:00,Mestalla,6,Sergio,Ramos,37,Defender,Spain,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
17,Isidro Díaz de Mera Escuderos,58,09-09-2023,16:30,Mestalla,7,Joaquín,Correa,28,Forward,Argentina,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
17,Isidro Díaz de Mera Escuderos,58,09-09-2023,16:30,Mestalla,10,Koke,Ruibal,30,Midfielder,Spain,Sevilla FC,Julen Lopetegui,José Castro Carmona,1,Corporación Acme
20,José Luis Munuera Montero,59,17-09-2023,12:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
20,José Luis Munuera Montero,59,17-09-2023,12:00,Mestalla,12,Casemiro, Iran,30,Midfielder,Brazil,Real Sociedad,Imanol Alguacil,Jokin Aperribay,14,Grupo Puerta Dorada
17,Isidro Díaz de Mera Escuderos,60,23-09-2023,14:00,Mestalla,7,Joaquín,Correa,28,Forward,Argentina,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
17,Isidro Díaz de Mera Escuderos,60,23-09-2023,14:00,Mestalla,13,Marco,Asensio,26,Forward,Spain,Villarreal CF,Unai Emery,Fernando Roig,7,Maximizar Marketing
12,César Soto Grado,61,30-09-2023,21:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
12,César Soto Grado,61,30-09-2023,21:00,Mestalla,16,Jan,Oblak,31,Goalkeeper,Slovenia,Real Betis,Manuel Pellegrini,Ángel Haro García and José Miguel López Catalán,25,Grupo de Crecimiento Global
9,Pablo González Fuertes,62,09-10-2023,21:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
9,Pablo González Fuertes,62,09-10-2023,21:00,Mestalla,17,Karim,Adeyemi,20,Forward,Germany,Athletic Bilbao,Marcelino García Toral,Aitor Elizegi,11,Dinámica Dinámica
2,Antonio Miguel Mateu Lahoz,63,15-10-2023,21:00,Mestalla,7,Joaquín,Correa,28,Forward,Argentina,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
2,Antonio Miguel Mateu Lahoz,63,15-10-2023,21:00,Mestalla,19,Dani,Parejo,33,Midfielder,Spain,Levante UD,Paco López,Quico Catalán,28,Fondos de Primera Clase
14,Guillermo Cuadra Fernández,64,21-10-2023,16:30,Mestalla,7,Joaquín,Correa,28,Forward,Argentina,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
14,Guillermo Cuadra Fernández,64,21-10-2023,16:30,Mestalla,22,Diego,Costa,34,Forward,Spain,SD Eibar,Jose Luis Mendilibar,Asier Etxeandía,17,Sponsors Estratégicos
8,Mario Melero López,65,29-10-2023,21:00,Mestalla,7,Joaquín,Correa,28,Forward,Argentina,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
8,Mario Melero López,65,29-10-2023,21:00,Mestalla,23,Alexander,Isak,23,Forward,Sweden,Getafe CF,Michel,Ángel Torres Sánchez,27,Asociaciones de la Cima
12,César Soto Grado,66,06-11-2023,21:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
12,César Soto Grado,66,06-11-2023,21:00,Mestalla,26,Youssef,En-Nesyri,25,Forward,Morocco,Granada CF,Robert Moreno,Jiang Lizhang,9,Soluciones Apex
7,Adrián Cordero Vega,67,12-11-2023,18:30,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
7,Adrián Cordero Vega,67,12-11-2023,18:30,Mestalla,27,Suso,Dani, 28,Forward,Spain,CD Leganés,Juan Ramón López Muñiz,María Victoria Pavón Iglesias,23,Deportes Superiores
17,Isidro Díaz de Mera Escuderos,68,17-11-2023,21:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
17,Isidro Díaz de Mera Escuderos,68,17-11-2023,21:00,Mestalla,30,Kubo,Kubi,21,Forward,Japan,RCD Mallorca,Luis García Plaza,Robert Sarver,25,Grupo de Crecimiento Global
5,José Luis González González,69,26-11-2023,12:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
5,José Luis González González,69,26-11-2023,12:00,Mestalla,31,Koundé,Carrasco,23,Defender,France,Elche CF,Alfredo Pardo,Villar Mir family,8,Aventuras de la Victoria
7,Adrián Cordero Vega,70,01-12-2023,21:00,Mestalla,8,Luis,Suárez,36,Forward,Uruguay,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
7,Adrián Cordero Vega,70,01-12-2023,21:00,Mestalla,33,Jonathan,Calleri,28,Forward,Argentina,Rayo Vallecano,Andoni Iraola,Raúl Martín Presa,20,Estrategias de Éxito
10,Gil Manzano,71,10-12-2023,18:30,Mestalla,7,Joaquín,Correa,28,Forward,Argentina,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
